,amount_tsh,gps_height,longitude,latitude,basin,region,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity,source_type,waterpoint_type_group,status_group
0,6000.0,1390,34.93809275,-9.85632177,1,3,109,1,7,0,5,0,4,0,2,1,6,1,3
2,25.0,686,37.46066446,-3.82132853,5,8,250,1,7,1,3,0,4,5,2,1,1,1,3
3,0.0,263,38.48616088,-11.15529772,7,12,58,1,7,1,2,5,4,2,2,0,0,1,1
5,20.0,0,39.1727956,-4.76558728,5,20,1,1,7,1,3,5,4,5,4,1,2,1,3
6,0.0,0,33.36240982,-3.76636472,0,17,0,1,7,1,5,1,4,2,2,1,0,3,1
8,0.0,0,32.71110001,-5.14671181,3,19,0,1,7,1,5,1,4,2,4,3,0,3,1
10,0.0,62,39.20951812,-7.03413939,8,14,345,1,4,0,4,5,0,2,4,1,0,5,3
11,200.0,1062,35.77025785,-10.57417468,1,16,250,1,9,0,2,1,4,3,2,2,5,3,3
12,0.0,0,33.79810612,-3.2901937999999995,0,17,0,1,9,0,5,1,4,4,2,1,5,3,3
13,0.0,1368,37.09257412,-3.1817832999999998,5,6,1,1,10,1,3,0,4,1,2,1,6,1,3
14,0.0,0,34.36407268,-3.62933335,0,17,0,1,9,1,5,1,4,2,2,1,5,3,3
15,0.0,1645,31.44412134,-8.27496163,3,15,200,1,7,0,5,1,4,2,2,1,0,3,3
16,500.0,1703,34.64243884,-9.10618458,6,3,35,1,8,1,1,0,4,1,2,0,4,1,1
17,0.0,1656,34.56926611,-9.08551497,6,3,50,1,8,1,1,0,4,3,2,0,4,1,1
19,500.0,1763,34.50896732,-9.8944125,1,3,1,1,7,1,5,0,4,0,2,1,6,1,3
20,200.0,2216,34.47342985,-9.59498965,1,3,4,1,7,0,3,0,4,1,2,1,6,1,3
22,0.0,1510,34.58690108,-8.98001429,6,3,350,1,8,1,1,0,4,2,2,1,4,1,2
23,500.0,672,37.94002949,-4.12559468,5,6,210,1,11,1,4,0,4,1,2,1,4,1,3
24,0.0,1645,29.74706567,-4.49556758,3,5,156,0,7,1,3,0,4,6,2,1,6,4,3
25,0.0,1273,37.42275132,-3.31753648,5,6,140,1,7,1,1,0,4,6,2,1,6,1,2
26,500.0,200,39.37077651,-9.94253166,7,7,260,0,7,0,4,1,4,1,2,1,0,3,3
28,0.0,1443,37.61112572,-3.2635263,5,6,1,1,0,1,3,0,0,1,2,2,6,1,1
29,0.0,1256,37.06168837,-3.19198926,5,6,1,1,10,1,3,0,4,1,2,1,6,1,3
30,0.0,0,36.1083125,-5.79099991,8,2,0,1,7,1,5,1,4,2,2,2,5,3,3
31,50.0,180,38.36355454,-6.63610419,8,14,150,0,8,1,3,5,0,5,2,1,4,1,3
32,0.0,1481,37.49233371,-3.29062725,5,6,180,0,2,1,1,0,1,2,2,2,4,5,2
33,0.0,1638,34.47835586,-9.71590954,1,3,70,1,7,0,5,0,4,3,2,3,6,1,3
34,0.0,-41,39.81291224,-7.889986299999999,6,14,100,1,7,0,5,1,4,2,4,1,5,3,3
36,0.0,0,33.85434473,-9.63851993,1,10,0,1,7,1,5,0,4,2,2,0,6,1,1
37,0.0,0,35.85837259,-4.6479063,0,2,0,1,7,0,5,0,4,1,2,1,6,1,3
